session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hxkkab,6,vdz27tkv,5,debate,Inicio_debate,1731089338,1,0,0
k1hxkkab,12,ixp6t6rj,4,debate,Lectura_Dilema,1731089339,1,0,0
k1hxkkab,5,t38ifg4p,4,debate,Lectura_Dilema,1731089345,1,0,0
k1hxkkab,8,akn7tcv5,5,debate,Inicio_debate,1731089352,1,0,0
k1hxkkab,3,sc8lbs96,4,debate,Lectura_Dilema,1731089357,1,0,0
k1hxkkab,9,fewonbrz,5,debate,Inicio_debate,1731089358,1,0,0
k1hxkkab,5,t38ifg4p,5,debate,Inicio_debate,1731089367,1,0,0
k1hxkkab,12,ixp6t6rj,5,debate,Inicio_debate,1731089368,1,0,0
k1hxkkab,1,i0g0hve8,4,debate,Lectura_Dilema,1731089385,1,0,0
k1hxkkab,3,sc8lbs96,5,debate,Inicio_debate,1731089388,1,0,0
k1hxkkab,1,i0g0hve8,5,debate,Inicio_debate,1731089405,1,0,0
k1hxkkab,4,tozx4h6f,7,debate,Encontra,1731089509,1,1,0
k1hxkkab,7,2av5nbe5,6,debate,Afavor,1731089517,1,1,0
k1hxkkab,10,cqd95f9g,7,debate,Encontra,1731089538,1,1,0
k1hxkkab,11,ab0ukpg2,6,debate,Afavor,1731089555,1,1,0
k1hxkkab,2,3gfleihj,7,debate,Encontra,1731089575,1,1,0
k1hxkkab,6,vdz27tkv,6,debate,Afavor,1731089579,1,1,0
k1hxkkab,9,fewonbrz,6,debate,Afavor,1731089599,1,1,0
k1hxkkab,10,cqd95f9g,8,debate,WaitForPostura,1731089599,1,0,1
k1hxkkab,9,fewonbrz,8,debate,WaitForPostura,1731089599,1,0,1
k1hxkkab,8,akn7tcv5,7,debate,Encontra,1731089601,1,1,0
k1hxkkab,7,2av5nbe5,8,debate,WaitForPostura,1731089601,1,0,1
k1hxkkab,8,akn7tcv5,8,debate,WaitForPostura,1731089601,1,0,1
k1hxkkab,5,t38ifg4p,7,debate,Encontra,1731089608,1,1,0
k1hxkkab,6,vdz27tkv,8,debate,WaitForPostura,1731089608,1,0,1
k1hxkkab,5,t38ifg4p,8,debate,WaitForPostura,1731089608,1,0,1
k1hxkkab,12,ixp6t6rj,7,debate,Encontra,1731089609,1,1,0
k1hxkkab,12,ixp6t6rj,8,debate,WaitForPostura,1731089609,1,0,1
k1hxkkab,11,ab0ukpg2,8,debate,WaitForPostura,1731089609,1,0,1
k1hxkkab,7,2av5nbe5,9,debate,Leer_argumento,1731089614,1,0,0
k1hxkkab,9,fewonbrz,9,debate,Leer_argumento,1731089623,1,0,0
k1hxkkab,10,cqd95f9g,9,debate,Leer_argumento,1731089626,1,0,0
k1hxkkab,6,vdz27tkv,9,debate,Leer_argumento,1731089627,1,0,0
k1hxkkab,3,sc8lbs96,6,debate,Afavor,1731089629,1,1,0
